dinc_audit.audit_log | audit_id bigint NOT NULL
dinc_audit.audit_log | entity_table text NOT NULL
dinc_audit.audit_log | entity_id text NOT NULL
dinc_audit.audit_log | action text NOT NULL
dinc_audit.audit_log | actor uuid
dinc_audit.audit_log | old_data jsonb
dinc_audit.audit_log | new_data jsonb
dinc_audit.audit_log | occurred_at timestamp with time zone NOT NULL
dinc_metadata.activity | activity_id uuid NOT NULL
dinc_metadata.activity | activity_code text NOT NULL
dinc_metadata.activity | event_id uuid NOT NULL
dinc_metadata.activity | activity_name text NOT NULL
dinc_metadata.activity | display_order integer NOT NULL
dinc_metadata.call_outcome | code text NOT NULL
dinc_metadata.call_outcome | name text NOT NULL
dinc_metadata.call_outcome | category text NOT NULL
dinc_metadata.call_outcome | is_active boolean NOT NULL
dinc_metadata.call_outcome | display_order integer NOT NULL
dinc_metadata.call_outcome_rule | outcome_code text NOT NULL
dinc_metadata.call_outcome_rule | programme_code text NOT NULL
dinc_metadata.call_outcome_rule | next_action text NOT NULL
dinc_metadata.call_outcome_rule | followup_delay_days integer
dinc_metadata.call_outcome_rule | priority text NOT NULL
dinc_metadata.call_outcome_rule | is_active boolean NOT NULL
dinc_metadata.enum_reference | enum_column text NOT NULL
dinc_metadata.enum_reference | allowed_value text NOT NULL
dinc_metadata.enum_reference | meaning text NOT NULL
dinc_metadata.event | event_id uuid NOT NULL
dinc_metadata.event | event_code text NOT NULL
dinc_metadata.event | programme_id uuid NOT NULL
dinc_metadata.event | event_name text NOT NULL
dinc_metadata.event | display_order integer NOT NULL
dinc_metadata.event_call_outcome | event_code text NOT NULL
dinc_metadata.event_call_outcome | outcome_code text NOT NULL
dinc_metadata.event_call_outcome | display_order integer NOT NULL
dinc_metadata.event_call_outcome | is_active boolean NOT NULL
dinc_metadata.faq | faq_code text NOT NULL
dinc_metadata.faq | category text NOT NULL
dinc_metadata.faq | question text NOT NULL
dinc_metadata.faq | answer text NOT NULL
dinc_metadata.faq | is_active boolean NOT NULL
dinc_metadata.faq_mapping | mapping_id uuid NOT NULL
dinc_metadata.faq_mapping | faq_code text NOT NULL
dinc_metadata.faq_mapping | scope_level text NOT NULL
dinc_metadata.faq_mapping | scope_code text NOT NULL
dinc_metadata.faq_mapping | display_order integer NOT NULL
dinc_metadata.faq_mapping | is_active boolean NOT NULL
dinc_metadata.guidebook | guidebook_code text NOT NULL
dinc_metadata.guidebook | title text NOT NULL
dinc_metadata.guidebook | category text NOT NULL
dinc_metadata.guidebook | source text NOT NULL
dinc_metadata.guidebook | is_active boolean NOT NULL
dinc_metadata.guidebook_discovery_rule | rule_id uuid NOT NULL
dinc_metadata.guidebook_discovery_rule | pattern text NOT NULL
dinc_metadata.guidebook_discovery_rule | guidebook_code text NOT NULL
dinc_metadata.guidebook_discovery_rule | sort_order integer NOT NULL
dinc_metadata.guidebook_discovery_rule | is_active boolean NOT NULL
dinc_metadata.guidebook_mapping | mapping_id uuid NOT NULL
dinc_metadata.guidebook_mapping | guidebook_code text NOT NULL
dinc_metadata.guidebook_mapping | scope_level text NOT NULL
dinc_metadata.guidebook_mapping | scope_code text NOT NULL
dinc_metadata.guidebook_mapping | display_order integer NOT NULL
dinc_metadata.guidebook_mapping | is_active boolean NOT NULL
dinc_metadata.guidebook_section | section_id uuid NOT NULL
dinc_metadata.guidebook_section | guidebook_code text NOT NULL
dinc_metadata.guidebook_section | section_type text NOT NULL
dinc_metadata.guidebook_section | section_title text NOT NULL
dinc_metadata.guidebook_section | content text NOT NULL
dinc_metadata.guidebook_section | display_order integer NOT NULL
dinc_metadata.metadata_release | release_version text NOT NULL
dinc_metadata.metadata_release | workbook_file text NOT NULL
dinc_metadata.metadata_release | workbook_sha256 text NOT NULL
dinc_metadata.metadata_release | loaded_at timestamp with time zone NOT NULL
dinc_metadata.nutrition_advice | advice_id uuid NOT NULL
dinc_metadata.nutrition_advice | advice_code text NOT NULL
dinc_metadata.nutrition_advice | category text NOT NULL
dinc_metadata.nutrition_advice | advice_text text NOT NULL
dinc_metadata.nutrition_advice | is_active boolean NOT NULL
dinc_metadata.nutrition_advice_mapping | mapping_id uuid NOT NULL
dinc_metadata.nutrition_advice_mapping | advice_code text NOT NULL
dinc_metadata.nutrition_advice_mapping | scope_level text NOT NULL
dinc_metadata.nutrition_advice_mapping | scope_code text NOT NULL
dinc_metadata.nutrition_advice_mapping | display_order integer NOT NULL
dinc_metadata.nutrition_advice_mapping | is_active boolean NOT NULL
dinc_metadata.outcome_template | template_id uuid NOT NULL
dinc_metadata.outcome_template | activity_id uuid NOT NULL
dinc_metadata.outcome_template | activity_code text NOT NULL
dinc_metadata.outcome_template | activity_name text NOT NULL
dinc_metadata.outcome_template | template_name text NOT NULL
dinc_metadata.outcome_template | display_order integer NOT NULL
dinc_metadata.outcome_template_field | field_id uuid NOT NULL
dinc_metadata.outcome_template_field | template_id uuid NOT NULL
dinc_metadata.outcome_template_field | field_name text NOT NULL
dinc_metadata.outcome_template_field | field_label text NOT NULL
